痒	itchy
緯	horizontal, woof, left & right, latitude
帆	sail
怪	suspicious, mystery, apparition
辛	spicy, bitter, hot, acrid
至	climax, arrive, proceed, reach, attain, result in
冥	dark
祷	pray
視	inspection, regard as, see, look at
遇	interview, treat, entertain, receive, deal with
洸	sparkling water
埜	open country, field, wilderness [old]
袖	sleeve, wing (building), extension, give cold shoulder
笹	bamboo grass
縮	shrink, contract, shrivel, wrinkle, reduce
官	bureaucrat, the government
賎	despise, low-life, poverty
代	substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee
郊	outskirts, suburbs, rural area
浩	wide expanse, abundance, vigorous
娘	daughter, girl
本	book, present, main, true, real, counter for long cylindrical things
蕊	pistil, stamen
塾	cram school, private school
刃	blade, sword, edge
峰	summit, peak
券	ticket
軒	flats, counter for houses, eaves
顛	overturn, summit, origin
訪	call on, visit, look up, offer sympathy
題	topic, subject
楢	oak
托	requesting, entrusting with, pretend, hint
幅	hanging scroll, width
吊	suspend, hang, wear (sword)
役	duty, war, campaign, drafted labor, office, service, role
嶺	peak, summit
微	delicate, minuteness, insignificance
淋	lonely, deserted
仄	be seen dimly, suggest, intimate, faint, stupid, hint
穎	heads of grain, cleverness
颯	suddenly, smoothly
区	ward, district
殊	particularly, especially, exceptionally
侭	as it is, because
太	plump, thick, big around
燈	lamp [old]
光	ray, light
先	before, ahead, previous, future, precedence
誘	entice, lead, tempt, invite, ask, call for, seduce, allure
謎	riddle, puzzle, enigma, hint, tip
曰	say, reason, pretext, history, past, flat sun radical (no. 73)
祥	auspicious, happiness, blessedness, good omen, good fortune
括	fasten, tie up, arrest, constrict
罪	guilt, sin, crime, fault, blame, offense
健	healthy, health, strength, persistence
而	rake
庖	kitchen
柏	oak
毎	every
萄	grape vine, wild grape
理	logic, arrangement, reason, justice, truth
眩	faint, dizzy
永	eternity, long, lengthy
秋	autumn
暑	sultry, hot, summer heat
僑	temporary home
卵	egg, ovum, spawn, roe
即	instant, namely, as is, conform, agree, adapt
除	exclude, division (x/3), remove, abolish, cancel, except
難	difficult, impossible, trouble, accident, defect
縦	vertical, length, height, self-indulgent, wayward
袷	lined (kimono)
允	license, sincerity, permit
膳	small low table, tray
吉	good luck, joy, congratulations
某	so-and-so, one, a certain, that person
祝	celebrate, congratulate
鼈	snapping turtle
宛	address, just like, fortunately
伯	chief, count, earl, uncle, Brazil
菌	germ, fungus, bacteria
選	elect, select, choose, prefer
鼎	three legged kettle
浄	clean, purify, cleanse, exorcise, Manchu Dynasty
站	stop, halt
